Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Chemical Equipment Operators and Tenders(519011),      120260,         1.5,       27.57,       57350,         0.5,       17.40,       20.95,       24.86,       32.12,       40.54,       36200,       43580,       51720,       66810,       84310
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders(519012)",       53170,         2.6,       24.98,       51960,         0.6,       16.39,       18.76,       23.13,       28.63,       35.07,       34100,       39010,       48120,       59560,       72950
"Crushing, Grinding, Polishing, Mixing, and Blending Workers(519020)",      144230,         1.2,       22.65,       47120,         0.3,       16.05,       18.15,       21.86,       26.04,       30.31,       33370,       37760,       45460,       54160,       63040
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders(519021)",       26210,         2.3,       22.31,       46390,         0.7,       15.70,       17.75,       21.40,       25.89,       30.37,       32650,       36920,       44510,       53850,       63180
"Grinding and Polishing Workers, Hand(519022)",       12290,         4.4,       19.95,       41490,         1.1,       14.49,       16.63,       18.72,       22.62,       27.88,       30140,       34600,       38940,       47050,       57990
"Mixing and Blending Machine Setters, Operators, and Tenders(519023)",      105740,         1.4,       23.05,       47950,         0.3,       16.39,       18.56,       22.16,       26.67,       30.62,       34090,       38610,       46100,       55470,       63700
Cutting Workers(519030),       59950,         1.6,       21.18,       44050,         0.5,       15.37,       17.62,       20.82,       23.98,       27.93,       31960,       36650,       43300,       49880,       58100
"Cutters and Trimmers, Hand(519031)",        7220,         4.2,       18.88,       39260,         0.8,       13.83,       15.43,       17.81,       20.86,       26.13,       28770,       32090,       37040,       43400,       54350
"Cutting and Slicing Machine Setters, Operators, and Tenders(519032)",       52720,         1.8,       21.49,       44700,         0.6,       15.75,       18.00,       21.31,       24.31,       28.00,       32760,       37430,       44310,       50570,       58240
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders(519041)",       57080,         1.8,       21.45,       44610,         0.4,       15.43,       17.70,       20.52,       23.91,       29.50,       32100,       36810,       42670,       49730,       61350
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders(519051)",       14820,         3.1,       22.86,       47540,         0.7,       16.55,       18.37,       21.94,       26.28,       30.45,       34430,       38200,       45640,       54660,       63340
"Inspectors, Testers, Sorters, Samplers, and Weighers(519061)",      584630,         1.0,       23.68,       49260,         0.3,       15.36,       17.88,       22.04,       27.90,       34.72,       31950,       37190,       45850,       58030,       72210
Jewelers and Precious Stone and Metal Workers(519071),       24060,         4.1,       25.00,       52000,         1.1,       14.81,       17.56,       22.81,       29.84,       37.74,       30790,       36510,       47450,       62070,       78500
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians(519080),       64970,         1.9,       23.36,       48590,         0.6,       15.36,       17.67,       21.46,       27.06,       34.84,       31950,       36760,       44640,       56280,       72470
Dental Laboratory Technicians(519081),       34190,         2.0,       25.19,       52390,         0.6,       16.32,       18.39,       22.93,       29.27,       37.24,       33940,       38250,       47690,       60880,       77460
Medical Appliance Technicians(519082),       12550,         5.9,       23.49,       48860,         1.2,       16.90,       18.38,       21.62,       25.42,       33.68,       35160,       38220,       44960,       52880,       70060
Ophthalmic Laboratory Technicians(519083),       18240,         5.4,       19.85,       41280,         1.2,       14.44,       16.65,       18.13,       21.90,       26.72,       30030,       34630,       37720,       45540,       55580
Packaging and Filling Machine Operators and Tenders(519111),      371600,         0.8,       19.81,       41200,         0.3,       14.45,       16.56,       18.43,       22.38,       26.96,       30050,       34440,       38330,       46540,       56070
Painting Workers(519120),      166570,         1.5,       23.17,       48200,         0.3,       15.81,       18.07,       21.80,       25.90,       31.72,       32890,       37580,       45340,       53880,       65980
"Painting, Coating, and Decorating Workers(519123)",       10700,         3.7,       21.18,       44050,         1.4,       14.74,       16.82,       19.34,       23.55,       28.44,       30660,       34980,       40230,       48980,       59160
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders(519124)",      155880,         1.5,       23.31,       48480,         0.3,       16.01,       18.17,       21.90,       26.17,       31.92,       33300,       37790,       45560,       54440,       66390
Semiconductor Processing Technicians(519141),       26450,         2.7,       23.54,       48970,         0.3,       15.20,       18.51,       22.04,       27.24,       32.63,       31610,       38510,       45850,       56660,       67870
Photographic Process Workers and Processing Machine Operators(519151),        5770,         9.4,       20.14,       41900,         2.6,       14.13,       15.36,       17.12,       21.47,       31.48,       29390,       31950,       35620,       44650,       65480
Computer Numerically Controlled Tool Operators and Programmers(519160),      215710,         1.4,       25.58,       53200,         0.3,       17.61,       20.20,       23.89,       29.44,       35.54,       36630,       42010,       49690,       61220,       73930
Computer Numerically Controlled Tool Operators(519161),      187670,         1.5,       24.54,       51030,         0.3,       17.49,       19.42,       23.34,       28.67,       32.20,       36380,       40390,       48550,       59630,       66970
Computer Numerically Controlled Tool Programmers(519162),       28030,         1.9,       32.52,       67650,         0.6,       22.11,       25.84,       30.50,       37.60,       45.61,       45980,       53750,       63440,       78200,       94880
Miscellaneous Production Workers(519190),      623280,         0.6,       20.36,       42360,         0.3,       14.33,       16.50,       18.63,       23.09,       28.53,       29800,       34310,       38750,       48020,       59350
Adhesive Bonding Machine Operators and Tenders(519191),       12510,         3.3,       21.35,       44400,         0.7,       15.00,       17.15,       20.93,       24.21,       28.29,       31200,       35660,       43540,       50350,       58840
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders(519192)",       15210,         2.7,       19.95,       41500,         0.6,       15.08,       17.01,       18.92,       22.37,       26.05,       31370,       35370,       39340,       46530,       54180
Cooling and Freezing Equipment Operators and Tenders(519193),        6500,         2.3,       21.56,       44840,         0.8,       15.08,       17.67,       20.40,       24.77,       29.86,       31370,       36760,       42420,       51530,       62120
